genus,root_diameter_mean,SRL_mean,RTD_mean,root_N_mean,root_P_mean,mycorrhizal_colonization_mean,EcoBank_amf_richness_mean,GlobalAMFungi_amf_richness_mean,EcoBank_prop_cult_mean,EcoBank_prop_ancestral_mean,EcoBank_prop_edaphophilic_mean,EcoBank_prop_rhizophilic_mean,n_species,n_fred_records,n_species_in_ecobank,n_species_in_globalamfungi
ascarina,0.53,22.2,0.2,9.01,0.68,,,,,,,,1,1.0,0,0
asclepias,0.3968771428571429,54.0,0.22852042857142857,15.841666666666667,,,,575.8813559322034,,,,,9,26.0,0,1
asimina,0.6534621175,10.586298915,0.16841666675,23.4956249825,,,,,,,,,1,64.0,0,0
aspalathus,,,,,,,9.75,11.0,24.85966051425,0.02639915525,0.0,99.7096092925,1,0.0,1,1
asparagus,0.3427,119.765,0.09010989,20.22373264,,80.83,,,,,,,6,11.0,0,0
asperugo,,,,,,,,,,,,,1,3.0,0,0
asperula,,81.83236721967742,0.12275275861290323,,,,,,,,,,3,65.0,0,0
asphodelus,,,,,,,32.75,105.625,24.46968092375,0.035942277625000005,0.0135869565,98.27541679375,2,0.0,2,2
aspidosperma,,,,,,,,,,,,,5,81.0,0,0
aspilia,,,,,,,,,,,,,1,5.0,0,0
asplenium,0.43,31.8,0.2,16.18,0.99,,17.444444444444443,,13.753164877444444,0.20031018155555558,0.0,98.75923814444444,5,7.0,1,0
astartea,,,,,,,,,,,,,1,1.0,0,0
astelia,0.945,13.7,0.09,8.305,0.875,,,,,,,,2,2.0,0,0
aster,0.2561,194.77026666666666,0.131359649,22.557961015,,,7.0,,0.739247312,0.0,43.07795699,56.78763441,8,15.0,1,0
asteriscus,,,,,,,14.75,,40.164673540625,2.502255423875,2.749012002375,93.56054340375,1,0.0,1,0
asterothamnus,,,,,,,,,,,,,1,1.0,0,0
astilbe,0.27797499999999997,126.61937051,0.217105263,16.532823625,,,,,,,,,2,2.0,0,0
